stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
104,LEUVEN Station,,4.719003,50.878496,,
105,PRAYON Château,,4.247748,51.488829,,
106,HABERGY Rue de la Scierie,,2.709076,51.562243,,
107,DINANT Boulevard Sasserath,,3.735951,51.006742,,
108,SALZINNES Clinique Ste-Elisabeth,,4.052982,50.962727,,
109,FLOREFFE Séminaire,,4.004359,50.909082,,
110,MARCHE Rue du Parc Industriel,,3.677327,51.277199,,
111,BERCHIWE Rue du Chaufour,,2.659192,51.376283,,
112,BOMAL Route de Barvaux n°92,,3.915313,51.395526,,
113,BOMAL Route d'Aywaille,,3.928637,51.399293,,
114,BARVAUX Camping,,3.886429,51.386998,,
115,BOMAL Route d'Aywaille,,3.929239,51.399132,,
116,BOMAL Clairval,,3.920379,51.396993,,
117,THY-LE-CHATEAU Rue Cheniat,,3.777430,50.703093,,
118,SALZINNES Clinique Ste-Elisabeth,,4.052982,50.962727,,
119,SALZINNES Val-Saint-Georges,,4.055060,50.960106,,
120,CHIMAY Gare,,3.404823,50.624614,,
121,MARCHE Rue du Parc Industriel,,3.677567,51.277068,,
122,BERCHIWE Rue du Chaufour,,2.658927,51.376193,,
123,EVREHAILLES Jauviat,,3.833193,51.007222,,
124,BOIS-DE-VILLERS Delhaize,,3.943375,50.943183,,
125,BOIS-DE-VILLERS Delhaize,,3.943148,50.943194,,
126,FRAIRE Route de Fairoul,,3.732780,50.747315,,
127,FLORENNES Bois-joly,,3.707826,50.809309,,
128,FLORENNES Bois-joly,,3.706655,50.809318,,
129,SOMZEE Ste-Barbe,,3.782442,50.734370,,
130,GELBRESSEE Fontaine,,4.128856,51.034237,,
131,JEMEPPE Gare,,4.037763,50.846711,,
132,AISEMONT Grosse haie,,3.982855,50.848263,,
133,AISEMONT Grosse haie,,3.982742,50.848130,,
134,HAMBRAINE Pelaki,,4.238063,51.051953,,
135,HAMBRAINE Pelaki,,4.238584,51.051902,,
136,MARCHE WEX,,3.707217,51.277873,,
137,BARVAUX Camping,,3.885957,51.386960,,
138,DURBUY Hôtel,,3.873762,51.359829,,
139,JEMAPPES Vieille Chasse,,4.049459,50.351956,,
140,NIVELET Centre,,3.001105,51.389917,,
141,NIVELET Centre,,3.001514,51.389670,,
142,THY-LE-CHATEAU Gare,,3.772388,50.698825,,
143,GOUY-LEZ-PIETON Maison du Peuple,,4.103802,50.635485,,
144,GOUY-LEZ-PIETON Maison du Peuple,,4.103614,50.635419,,
145,GOUY-LEZ-PIETON SNCB,,4.109166,50.633729,,
146,GOUY-LEZ-PIETON SNCB,,4.109185,50.633530,,
147,HAINE-ST-PIERRE Cité Bellez,,4.057379,50.561729,,
148,HAINE-ST-PIERRE Football,,4.053908,50.558543,,
149,MORLANWELZ Violettes,,4.052955,50.567222,,
150,PATURAGES Grand Bouillon,,3.965862,50.336243,,
151,JEMAPPES Vieille Chasse,,4.049558,50.351771,,
152,BELGRADE Rue de la Bosna,,4.068160,50.944352,,
153,BELGRADE Rue Durieux 47,,4.065870,50.947070,,
154,BELGRADE Rue du Danube,,4.066966,50.942882,,
155,CUSTINNE Pont de Ver,,3.651346,51.097354,,
156,CUSTINNE Grand'route,,3.656100,51.096171,,
157,CUSTINNE Pont de Ver,,3.650622,51.097385,,
158,CUSTINNE Grand'route,,3.655531,51.096042,,
159,BLANDAIN Ancienne Gare,,4.315359,49.980853,,
160,HAINE-ST-PIERRE Rue du Vélodrome,,4.046950,50.559645,,
161,MORLANWELZ Hayettes,,4.045688,50.564631,,
162,HOUDENG-GOEGNIES Bois de la Hutte,,4.117824,50.538655,,
163,HOUDENG-AIMERIES Jobrette,,4.084292,50.519708,,
164,MAILLEN Rue de Poilvache,,3.922415,51.050616,,
165,CHAUMONT Barrière Luc,,3.652591,50.799716,,
166,CHAUMONT Barrière Luc,,3.652822,50.800410,,
