shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BE.TEC.BE.TEC.B1,4.685873,50.653435,92,9.825699
BE.TEC.BE.TEC.B1,4.681228,50.654385,93,10.352456
BE.TEC.BE.TEC.B1,4.680908,50.654447,94,10.388705
BE.TEC.BE.TEC.B1,4.680752,50.654475,95,10.406314
BE.TEC.BE.TEC.B1,4.680584,50.654505,96,10.425265
BE.TEC.BE.TEC.B1,4.680282,50.654563,97,10.459452
BE.TEC.BE.TEC.B1,4.679429,50.654750,98,10.556449
BE.TEC.BE.TEC.B1,4.668890,50.656898,99,11.751528
BE.TEC.BE.TEC.B1,4.662363,50.658211,100,12.491233
BE.TEC.BE.TEC.B1,4.655676,50.659650,101,13.251228
BE.TEC.BE.TEC.B1,4.655487,50.659699,102,13.272912
BE.TEC.BE.TEC.B1,4.653696,50.660122,103,13.477409
BE.TEC.BE.TEC.B1,4.653208,50.660249,104,13.533432
BE.TEC.BE.TEC.B1,4.652787,50.660364,105,13.581881
BE.TEC.BE.TEC.B1,4.652687,50.660348,106,13.593157
BE.TEC.BE.TEC.B1,4.652513,50.660375,107,13.612689
BE.TEC.BE.TEC.B1,4.651026,50.660764,108,13.783498
BE.TEC.BE.TEC.B1,4.650992,50.660769,109,13.787257
BE.TEC.BE.TEC.B1,4.647548,50.661349,110,14.175304
BE.TEC.BE.TEC.B1,4.646740,50.661499,111,14.266677
BE.TEC.BE.TEC.B1,4.646655,50.661508,112,14.276117
BE.TEC.BE.TEC.B1,4.646570,50.661502,113,14.285636
BE.TEC.BE.TEC.B1,4.646541,50.661497,114,14.288942
BE.TEC.BE.TEC.B1,4.646503,50.661484,115,14.293383
BE.TEC.BE.TEC.B1,4.646466,50.661467,116,14.297888
BE.TEC.BE.TEC.B1,4.646415,50.661405,117,14.306708
BE.TEC.BE.TEC.B1,4.646307,50.661284,118,14.324758
BE.TEC.BE.TEC.B1,4.645783,50.660773,119,14.405962
BE.TEC.BE.TEC.B1,4.645707,50.660740,120,14.415143
BE.TEC.BE.TEC.B1,4.764972,50.625305,121,28.237260
BE.TEC.BE.TEC.B1,4.764897,50.625287,122,28.245811
BE.TEC.BE.TEC.B1,4.764369,50.624896,123,28.318711
BE.TEC.BE.TEC.B1,4.763992,50.624630,124,28.370010
BE.TEC.BE.TEC.B1,4.763132,50.623973,125,28.490044
BE.TEC.BE.TEC.B1,4.763073,50.623944,126,28.497409
BE.TEC.BE.TEC.B1,4.763024,50.623926,127,28.503221
BE.TEC.BE.TEC.B1,4.762916,50.623902,128,28.515523
BE.TEC.BE.TEC.B1,4.762861,50.623917,129,28.521848
BE.TEC.BE.TEC.B1,4.762803,50.623925,130,28.528310
BE.TEC.BE.TEC.B1,4.762745,50.623926,131,28.534844
BE.TEC.BE.TEC.B1,4.762687,50.623918,132,28.541311
BE.TEC.BE.TEC.B1,4.762639,50.623905,133,28.546778
BE.TEC.BE.TEC.B1,4.762570,50.623921,134,28.554671
BE.TEC.BE.TEC.B1,4.762400,50.623981,135,28.574743
BE.TEC.BE.TEC.B1,4.762087,50.624122,136,28.612862
BE.TEC.BE.TEC.B1,4.761884,50.624211,137,28.637459
BE.TEC.BE.TEC.B1,4.761692,50.624288,138,28.660479
BE.TEC.BE.TEC.B1,4.761565,50.624320,139,28.674970
BE.TEC.BE.TEC.B1,4.761448,50.624332,140,28.688026
BE.TEC.BE.TEC.B1,4.761104,50.624322,141,28.726314
BE.TEC.BE.TEC.B1,4.760903,50.624320,142,28.748629
BE.TEC.BE.TEC.B1,4.760712,50.624311,143,28.769919
BE.TEC.BE.TEC.B1,4.760516,50.624315,144,28.791703
BE.TEC.BE.TEC.B1,4.760272,50.624334,145,28.818857
BE.TEC.BE.TEC.B1,4.760057,50.624359,146,28.842897
BE.TEC.BE.TEC.B1,4.759843,50.624393,147,28.867056
BE.TEC.BE.TEC.B1,4.759599,50.624443,148,28.894632
BE.TEC.BE.TEC.B1,4.759313,50.624523,149,28.927634
BE.TEC.BE.TEC.B1,4.759067,50.624595,150,28.956143
BE.TEC.BE.TEC.B1,4.758882,50.624649,151,28.977511
BE.TEC.BE.TEC.B1,4.757839,50.625228,152,29.110018
BE.TEC.BE.TEC.B1,4.757771,50.625262,153,29.118456
BE.TEC.BE.TEC.B1,4.757577,50.625304,154,29.140500
BE.TEC.BE.TEC.B1,4.753684,50.628392,155,29.691989
BE.TEC.BE.TEC.B1,4.753443,50.628579,156,29.725787
BE.TEC.BE.TEC.B1,4.750175,50.631115,157,30.184961
BE.TEC.BE.TEC.B1,4.748380,50.632474,158,30.434847
BE.TEC.BE.TEC.B1,4.746548,50.633747,159,30.682464
BE.TEC.BE.TEC.B1,4.745989,50.634135,160,30.757952
BE.TEC.BE.TEC.B1,4.745734,50.634305,161,30.792010
BE.TEC.BE.TEC.B1,4.744156,50.635356,162,31.002446
BE.TEC.BE.TEC.B1,4.743832,50.635574,163,31.045829
BE.TEC.BE.TEC.B1,4.742464,50.636454,164,31.226389
BE.TEC.BE.TEC.B1,4.741958,50.636762,165,31.292126
BE.TEC.BE.TEC.B1,4.741110,50.637264,166,31.401560
BE.TEC.BE.TEC.B1,4.741048,50.637299,167,31.409426
BE.TEC.BE.TEC.B1,4.740297,50.637726,168,31.505424
BE.TEC.BE.TEC.B1,4.739080,50.638400,169,31.659803
BE.TEC.BE.TEC.B1,4.737799,50.639083,170,31.821001
BE.TEC.BE.TEC.B1,4.736400,50.639787,171,31.994978
BE.TEC.BE.TEC.B1,4.733501,50.641171,172,32.351686
BE.TEC.BE.TEC.B1,4.732969,50.641381,173,32.415204
BE.TEC.BE.TEC.B1,4.731454,50.642034,174,32.598463
BE.TEC.BE.TEC.B1,4.731150,50.642184,175,32.636128
BE.TEC.BE.TEC.B1,4.730458,50.642505,176,32.720870
BE.TEC.BE.TEC.B1,4.729361,50.642939,177,32.851868
BE.TEC.BE.TEC.B1,4.729220,50.642989,178,32.868534
BE.TEC.BE.TEC.B1,4.728438,50.643263,179,32.960516
BE.TEC.BE.TEC.B1,4.726468,50.643988,180,33.193736
BE.TEC.BE.TEC.B1,4.725835,50.644239,181,33.269374
BE.TEC.BE.TEC.B1,4.725393,50.644412,182,33.322093
BE.TEC.BE.TEC.B1,4.724981,50.644556,183,33.370574
BE.TEC.BE.TEC.B1,4.723656,50.645019,184,33.526427
BE.TEC.BE.TEC.B1,4.723119,50.645204,185,33.589559
BE.TEC.BE.TEC.B1,4.721714,50.645675,186,33.754147
BE.TEC.BE.TEC.B1,4.720388,50.646106,187,33.909043
BE.TEC.BE.TEC.B1,4.720381,50.646108,188,33.909897
BE.TEC.BE.TEC.B1,4.716861,50.647142,189,34.317417
BE.TEC.BE.TEC.B1,4.715909,50.647405,190,34.427183
BE.TEC.BE.TEC.B1,4.713799,50.647951,191,34.669362
BE.TEC.BE.TEC.B1,4.713558,50.648009,192,34.696857
BE.TEC.BE.TEC.B1,4.713137,50.648110,193,34.744982
BE.TEC.BE.TEC.B1,4.711395,50.648495,194,34.943188
BE.TEC.BE.TEC.B1,4.710959,50.648590,195,34.992756
BE.TEC.BE.TEC.B1,4.708969,50.649017,196,35.218977
BE.TEC.BE.TEC.B1,4.702516,50.650314,197,35.950276
BE.TEC.BE.TEC.B1,4.697206,50.651373,198,36.551865
BE.TEC.BE.TEC.B1,4.695267,50.651761,199,36.771618
BE.TEC.BE.TEC.B1,4.694754,50.651863,200,36.829738
BE.TEC.BE.TEC.B1,4.689900,50.652836,201,37.379760
BE.TEC.BE.TEC.B1,4.689468,50.652923,202,37.428760
BE.TEC.BE.TEC.B1,4.686104,50.653609,203,37.810145
BE.TEC.BE.TEC.B1,4.681100,50.654623,204,38.377548
BE.TEC.BE.TEC.B1,4.680864,50.654664,205,38.404092
BE.TEC.BE.TEC.B1,4.680603,50.654709,206,38.433533
BE.TEC.BE.TEC.B1,4.680006,50.654843,207,38.501547
BE.TEC.BE.TEC.B1,4.669047,50.657075,208,39.744163
BE.TEC.BE.TEC.B1,4.663516,50.658186,209,40.371037
BE.TEC.BE.TEC.B1,4.658622,50.659235,210,40.927117
BE.TEC.BE.TEC.B1,4.658330,50.659298,211,40.960337
BE.TEC.BE.TEC.B1,4.655778,50.659846,212,41.250310
BE.TEC.BE.TEC.B1,4.655499,50.659902,213,41.281960
BE.TEC.BE.TEC.B1,4.655179,50.659985,214,41.318714
BE.TEC.BE.TEC.B1,4.653470,50.660401,215,41.514114
BE.TEC.BE.TEC.B1,4.652784,50.660574,216,41.592749
BE.TEC.BE.TEC.B1,4.652214,50.660719,217,41.658088
BE.TEC.BE.TEC.B1,4.652039,50.660756,218,41.677936
BE.TEC.BE.TEC.B1,4.651975,50.660795,219,41.686215
BE.TEC.BE.TEC.B1,4.651917,50.660826,220,41.693628
BE.TEC.BE.TEC.B1,4.651790,50.660873,221,41.708648
BE.TEC.BE.TEC.B1,4.651384,50.661021,222,41.756587
BE.TEC.BE.TEC.B1,4.650934,50.661163,223,41.809004
BE.TEC.BE.TEC.B1,4.650644,50.661268,224,41.843330
BE.TEC.BE.TEC.B1,4.650380,50.661370,225,41.874726
BE.TEC.BE.TEC.B1,4.650193,50.661481,226,41.898811
BE.TEC.BE.TEC.B1,4.650022,50.661601,227,41.922038
BE.TEC.BE.TEC.B1,4.649914,50.661677,228,41.936702
BE.TEC.BE.TEC.B1,4.649802,50.661765,229,41.952479
BE.TEC.BE.TEC.B1,4.649717,50.661860,230,41.966652
BE.TEC.BE.TEC.B1,4.649646,50.661924,231,41.977221
BE.TEC.BE.TEC.B1,4.649576,50.661992,232,41.988128
BE.TEC.BE.TEC.B1,4.649489,50.662094,233,42.003001
BE.TEC.BE.TEC.B1,4.649476,50.662132,234,42.007461
BE.TEC.BE.TEC.B1,4.649441,50.662192,235,42.015087
BE.TEC.BE.TEC.B1,4.649427,50.662250,236,42.021793
BE.TEC.BE.TEC.B1,4.649403,50.662306,237,42.028507
BE.TEC.BE.TEC.B1,4.649350,50.662477,238,42.048353
BE.TEC.BE.TEC.B1,4.649315,50.662595,239,42.061986
BE.TEC.BE.TEC.B1,4.649207,50.662727,240,42.080877
BE.TEC.BE.TEC.B1,4.649160,50.662785,241,42.089262
BE.TEC.BE.TEC.B1,4.649009,50.662896,242,42.109989
BE.TEC.BE.TEC.B1,4.648864,50.662961,243,42.127651
BE.TEC.BE.TEC.B1,4.648685,50.663034,244,42.149081
BE.TEC.BE.TEC.B1,4.648535,50.663084,245,42.166649
BE.TEC.BE.TEC.B1,4.648303,50.663118,246,42.192700
BE.TEC.BE.TEC.B1,4.648170,50.663128,247,42.207508
BE.TEC.BE.TEC.B1,4.647975,50.663116,248,42.229296
BE.TEC.BE.TEC.B1,4.647822,50.663109,249,42.246239
BE.TEC.BE.TEC.B1,4.647714,50.663113,250,42.258330
BE.TEC.BE.TEC.B1,4.647612,50.663109,251,42.269622
BE.TEC.BE.TEC.B1,4.647537,50.663106,252,42.277950
BE.TEC.BE.TEC.B1,4.647311,50.662792,253,42.320842
BE.TEC.BE.TEC.B1,4.647252,50.662708,254,42.332260
BE.TEC.BE.TEC.B1,4.647054,50.662398,255,42.373012
BE.TEC.BE.TEC.B1,4.646913,50.662188,256,42.401150
BE.TEC.BE.TEC.B1,4.646869,50.662117,257,42.410392
BE.TEC.BE.TEC.B1,4.646832,50.662061,258,42.417809
BE.TEC.BE.TEC.B1,4.646790,50.661999,259,42.426076
BE.TEC.BE.TEC.B1,4.646695,50.661879,260,42.443064
BE.TEC.BE.TEC.B1,4.646612,50.661768,261,42.458474
BE.TEC.BE.TEC.B1,4.646534,50.661661,262,42.473143
BE.TEC.BE.TEC.B1,4.646425,50.661538,263,42.491372
BE.TEC.BE.TEC.B1,4.646318,50.661403,264,42.510495
BE.TEC.BE.TEC.B1,4.646232,50.661303,265,42.525029
BE.TEC.BE.TEC.B1,4.645729,50.660792,266,42.604631
BE.TEC.BE.TEC.B1,4.645707,50.660740,267,42.610881
BE.TEC.BE.TEC.B1,4.764972,50.625305,268,56.432999
BE.TEC.BE.TEC.B1,4.764941,50.625243,269,56.440666
BE.TEC.BE.TEC.B1,4.764428,50.624847,270,56.512581
BE.TEC.BE.TEC.B1,4.763392,50.624027,271,56.659258
BE.TEC.BE.TEC.B1,4.763143,50.623840,272,56.693719
